Illumina_Trusight_one_clinical_exome	SureSelect_Focussed_exome_RDE	Sure_select_all_exon_v5	Sure_select_all_exon_v6
ALDOA	AKAP9	ACSM3	ACSM2A
ALDOB	AKR1B1	ACSM4	ACSM2B
ALG1	AKR1C2	ACSM5	ACSM3
ALG10B	AKR1C3	ACSS1	ACSM4
ALG11	AKR1C4	ACSS2	ACSM5
ALG12	AKR1D1	ACSS3	ACSM6
ALG13	AKR7A2	ACTA1	ACSS1
ALG2	AKR7A3	ACTA2	ACSS2
ALG3	AKT1	ACTB	ACSS3
ALG6	AKT2	ACTBL2	ACTA1
ALG8	AKT3	ACTC1	ACTA2
ALG9	ALAD	ACTG1	ACTA2-AS1
ALK	ALAS2	ACTG2	ACTB
ALMS1	ALB	ACTL10	ACTBL2
ALOX12	ALCAM	ACTL6A	ACTC1
ALOX12B	ALDH16A1	ACTL6B	ACTG1
ALOX15	ALDH18A1	ACTL7A	ACTG1P17
ALOX5	ALDH1A1	ACTL7B	ACTG2
ALOX5AP	ALDH1A2	ACTL8	ACTL10
ALOXE3	ALDH1A3	ACTL9	ACTL6A
ALPL	ALDH1B1	ACTN1	ACTL6B
ALS2	ALDH2	ACTN2	ACTL7A
ALS2CL	ALDH3A1	ACTN3	ACTL7B
ALX1	ALDH3A2	ACTN4	ACTL8
ALX3	ALDH3B1	ACTR10	ACTL9
ALX4	ALDH3B2	ACTR1A	ACTN1
AMACR	ALDH4A1	ACTR1B	ACTN2
AMELX	ALDH5A1	ACTR2	ACTN3
AMELY	ALDH6A1	ACTR3	ACTN4
AMER1	ALDH7A1	ACTR3B	ACTR10
AMH	ALDH8A1	ACTR3C	ACTR1A
AMHR2	ALDH9A1	ACTR5	ACTR1B
AMN	ALDOA	ACTR6	ACTR2
AMPD1	ALDOB	ACTR8	ACTR3
AMPD3	ALG1	ACTRT1	ACTR3B
AMT	ALG11	ACTRT2	ACTR3BP2
ANAPC1	ALG12	ACTRT3	ACTR3C
ANG	ALG13	ACVR1	ACTR5
ANGPT1	ALG14	ACVR1B	ACTR6
ANGPTL3	ALG2	ACVR1C	ACTR8
ANGPTL4	ALG3	ACVR2A	ACTRT1
ANGPTL5	ALG6	ACVR2B	ACTRT2
ANK1	ALG8	ACVR2B-AS1	ACTRT3
ANK2	ALG9	ACVRL1	ACVR1
ANK3	ALK	ACY1	ACVR1B
ANKH	ALKBH7	ACY3	ACVR1C
ANKK1	ALLC	ACYP1	ACVR2A
ANKRD1	ALMS1	ACYP2	ACVR2B
ANKRD11	ALOX12	ADA	ACVR2B-AS1
ANKRD26	ALOX12B	ADAD1	ACVRL1
ANKS1A	ALOX15	ADAD2	ACY1
ANKS1B	ALOX5	ADAL	ACY3
ANO10	ALOX5AP	ADAM10	ACYP1
ANO5	ALOXE3	ADAM11	ACYP2
ANO6	ALPL	ADAM12	ADA
ANO7	ALS2	ADAM15	ADAD1
ANTXR1	ALS2CL	ADAM17	ADAD2
ANTXR2	ALX1	ADAM18	ADAL
ANXA11	ALX3	ADAM19	ADAM10
ANXA5	ALX4	ADAM1A	ADAM11
AOAH	AMACR	ADAM2	ADAM12
AOC1	AMELX	ADAM20	ADAM15
AP1S1	AMELY	ADAM20P1	ADAM17
AP1S2	AMER1	ADAM21	ADAM18
AP3B1	AMH	ADAM21P1	ADAM19
AP3B2	AMHR2	ADAM22	ADAM1A
AP4B1	AMN	ADAM23	ADAM2
AP4E1	AMPD1	ADAM28	ADAM20
AP4M1	AMPD3	ADAM29	ADAM20P1
AP4S1	AMT	ADAM30	ADAM21
AP5Z1	ANG	ADAM32	ADAM21P1
APAF1	ANGPT1	ADAM33	ADAM22
APBA2	ANGPT2	ADAM3A	ADAM23
APBB1	ANGPTL3	ADAM6	ADAM28
APBB3	ANGPTL4	ADAM7	ADAM29
APC	ANGPTL5	ADAM8	ADAM30
APCDD1	ANK1	ADAM9	ADAM32
APEX1	ANK2	ADAMDEC1	ADAM33
