Illumina_Trusight_one_clinical_exome	SureSelect_Focussed_exome_RDE	Sure_select_all_exon_v5	Sure_select_all_exon_v6
		LOC728989	LOC100289511
		LOC729159	LOC100289561
		LOC729732	LOC100289580
		LOC729970	LOC100289673
		LOC730159	LOC100294362
		LOC730668	LOC100335030
		LOC731157	LOC100379224
		LOC81691	LOC100499484
		LOC90834	LOC100499484-C9ORF174
		LOC93432	LOC100499489
		LOC93622	LOC100505478
		LOH12CR1	LOC100505530
		LOH12CR2	LOC100505549
		LONP1	LOC100505635
		LONP2	LOC100505666
		LONRF1	LOC100505716
		LONRF2	LOC100505841
		LONRF3	LOC100505915
		LOR	LOC100505978
		LOX	LOC100506071
		LOXHD1	LOC100506083
		LOXL1	LOC100506127
		LOXL1-AS1	LOC100506136
		LOXL2	LOC100506302
		LOXL3	LOC100506314
		LOXL4	LOC100506321
		LPA	LOC100506388
		LPAL2	LOC100506422
		LPAR1	LOC100506472
		LPAR2	LOC100506499
		LPAR3	LOC100506551
		LPAR4	LOC100506606
		LPAR5	LOC100506639
		LPAR6	LOC100506679
		LPCAT1	LOC100506688
		LPCAT2	LOC100506747
		LPCAT3	LOC100506753
		LPCAT4	LOC100506801
		LPGAT1	LOC100506869
		LPHN1	LOC100506895
		LPHN2	LOC100506990
		LPHN3	LOC100507053
		LPIN1	LOC100507156
		LPIN2	LOC100507205
		LPIN3	LOC100507250
		LPL	LOC100507283
		LPO	LOC100507346
		LPP	LOC100507373
		LPPR1	LOC100507377
		LPPR2	LOC100507420
		LPPR3	LOC100507424
		LPPR4	LOC100507431
		LPPR5	LOC100507462
		LPXN	LOC100507472
		LRAT	LOC100507530
		LRBA	LOC100507547
		LRCH1	LOC100507557
		LRCH2	LOC100507564
		LRCH3	LOC100507577
		LRCH4	LOC100507600
		LRCOL1	LOC100508046
		LRFN1	LOC100630923
		LRFN2	LOC100631378
		LRFN3	LOC100652758
		LRFN4	LOC100652768
		LRFN5	LOC100652999
		LRG1	LOC100996291
		LRGUK	LOC100996325
		LRIF1	LOC100996338
		LRIG1	LOC100996342
		LRIG2	LOC100996348
		LRIG3	LOC100996351
		LRIT1	LOC100996385
		LRIT2	LOC100996455
		LRIT3	LOC100996634
		LRMP	LOC100996654
		LRP1	LOC100996693
		LRP10	LOC100996758
		LRP11	LOC101054525
		LRP12	LOC101060321
		LRP1B	LOC101060389
		LRP2	LOC101243545
		LRP2BP	LOC101448202
		LRP3	LOC101559451
		LRP4	LOC101926913
		LRP4-AS1	LOC101926926
		LRP5	LOC101926935
		LRP5L	LOC101926943
		LRP6	LOC101926966
		LRP8	LOC101927018
		LRPAP1	LOC101927045
		LRPPRC	LOC101927051
		LRR1	LOC101927055
		LRRC1	LOC101927078
		LRRC10	LOC101927079
		LRRC10B	LOC101927100
		LRRC14	LOC101927142
		LRRC14B	LOC101927157
		LRRC15	LOC101927164
		LRRC16A	LOC101927178
		LRRC16B	LOC101927179
		LRRC17	LOC101927188
		LRRC18	LOC101927189
		LRRC19	LOC101927196
		LRRC2	LOC101927267
		LRRC20	LOC101927272
		LRRC23	LOC101927286
		LRRC24	LOC101927296
		LRRC25	LOC101927318
		LRRC26	LOC101927322
		LRRC27	LOC101927437
		LRRC28	LOC101927446
		LRRC29	LOC101927481
		LRRC3	LOC101927492
		LRRC30	LOC101927550
		LRRC31	LOC101927572
		LRRC32	LOC101927583
		LRRC34	LOC101927730
		LRRC36	LOC101927735
		LRRC37A	LOC101927746
		LRRC37A2	LOC101927755
		LRRC37A3	LOC101927765
		LRRC37A4P	LOC101927780
		LRRC37A5P	LOC101927811
		LRRC37A6P	LOC101927844
		LRRC37B	LOC101927854
		LRRC37BP1	LOC101927881
		LRRC38	LOC101927911
		LRRC39	LOC101927914
		LRRC3B	LOC101927924
		LRRC3C	LOC101927954
		LRRC4	LOC101927969
		LRRC40	LOC101928020
		LRRC41	LOC101928034
		LRRC42	LOC101928063
		LRRC43	LOC101928068
		LRRC45	LOC101928069
		LRRC46	LOC101928093
		LRRC47	LOC101928100
		LRRC48	LOC101928140
		LRRC49	LOC101928163
		LRRC4B	LOC101928203
		LRRC4C	LOC101928279
		LRRC52	LOC101928324
		LRRC55	LOC101928327
		LRRC56	LOC101928371
		LRRC57	LOC101928372
		LRRC58	LOC101928404
		LRRC59	LOC101928418
		LRRC6	LOC101928436
		LRRC61	LOC101928445
		LRRC63	LOC101928448
		LRRC66	LOC101928489
		LRRC69	LOC101928517
		LRRC7	LOC101928525
		LRRC70	LOC101928540
		LRRC71	LOC101928580
		LRRC72	LOC101928590
		LRRC73	LOC101928600
		LRRC74	LOC101928650
		LRRC75A	LOC101928661
		LRRC75A-AS1	LOC101928694
		LRRC75B	LOC101928697
		LRRC8A	LOC101928786
		LRRC8B	LOC101928790
		LRRC8C	LOC101928804
		LRRC8D	LOC101928847
		LRRC8E	LOC101928882
		LRRC9	LOC101928891
		LRRCC1	LOC101928909
		LRRD1	LOC101928973
		LRRFIP1	LOC101928988
		LRRFIP2	LOC101929057
		LRRIQ1	LOC101929058
		LRRIQ3	LOC101929066
		LRRIQ4	LOC101929089
		LRRK1	LOC101929099
		LRRK2	LOC101929106
		LRRN1	LOC101929122
		LRRN2	LOC101929147
		LRRN3	LOC101929162
		LRRN4	LOC101929231
		LRRN4CL	LOC101929315
		LRRTM1	LOC101929319
		LRRTM2	LOC101929353
		LRRTM3	LOC101929372
		LRRTM4	LOC101929384
		LRSAM1	LOC101929415
		LRTM1	LOC101929427
		LRTM2	LOC101929439
		LRTOMT	LOC101929441
		LRWD1	LOC101929468
		LSAMP	LOC101929473
		LSG1	LOC101929516
		LSM1	LOC101929517
		LSM10	LOC101929529
		LSM11	LOC101929532
		LSM12	LOC101929572
		LSM14A	LOC101929577
		LSM14B	LOC101929586
		LSM2	LOC101929595
		LSM3	LOC101929680
		LSM4	LOC101929698
		LSM5	LOC101929705
		LSM6	LOC101929715
		LSM7	LOC101929718
		LSM8	LOC101929741
		LSMEM1	LOC101929762
		LSMEM2	LOC101929829
		LSP1	LOC101929983
		LSR	LOC101930071
		LSS	LOC102467073
		LST1	LOC102467081
		LTA	LOC102467147
		LTA4H	LOC102467655
		LTB	LOC102723377
		LTB4R	LOC102723385
		LTB4R2	LOC102723604
		LTBP1	LOC102723661
		LTBP2	LOC102723701
		LTBP3	LOC102723704
		LTBP4	LOC102723729
		LTBR	LOC102723833
		LTC4S	LOC102723859
		LTF	LOC102723885
		LTK	LOC102724009
		LTN1	LOC102724020
		LTV1	LOC102724050
		LUC7L	LOC102724058
		LUC7L2	LOC102724094
		LUC7L3	LOC102724153
		LUM	LOC102724238
		LURAP1	LOC102724555
		LURAP1L	LOC102724596
		LUZP1	LOC102724659
		LUZP2	LOC102724663
		LUZP4	LOC102724776
		LUZP6	LOC102724804
		LXN	LOC102724814
		LY6D	LOC102724862
		LY6E	LOC102724933
		LY6G5B	LOC102724957
		LY6G5C	LOC104968399
		LY6G6C	LOC113230
		LY6G6D	LOC115110
		LY6G6E	LOC143666
		LY6G6F	LOC145783
		LY6H	LOC145837
		LY6K	LOC145845
		LY75	LOC146880
		LY75-CD302	LOC148413
		LY86	LOC148696
		LY9	LOC149373
		LY96	LOC149684
		LYAR	LOC149950
		LYG1	LOC150776
		LYG2	LOC150935
		LYL1	LOC151174
		LYN	LOC154449
		LYNX1	LOC154761
		LYPD1	LOC154872
		LYPD2	LOC155060
		LYPD3	LOC158434
		LYPD4	LOC171391
		LYPD5	LOC1720
		LYPD6	LOC200726
		LYPD6B	LOC200772
		LYPD8	LOC202181
		LYPLA1	LOC254028
		LYPLA2	LOC254896
		LYPLAL1	LOC257396
		LYRM1	LOC283038
		LYRM2	LOC283332
		LYRM4	LOC283335
		LYRM5	LOC283440
		LYRM7	LOC283585
		LYRM9	LOC283710
		LYSMD1	LOC283731
		LYSMD2	LOC283922
		LYSMD3	LOC284009
		LYSMD4	LOC284023
		LYST	LOC284344
		LYVE1	LOC284379
		LYZ	LOC284454
		LYZL1	LOC284933
		LYZL2	LOC285074
		LYZL4	LOC285484
		LYZL6	LOC285768
		LZIC	LOC285819
		LZTFL1	LOC286094
		LZTR1	LOC286189
		LZTS1	LOC286190
		LZTS2	LOC286238
		LZTS3	LOC339059
		M1AP	LOC339260
		M6PR	LOC339593
		MAATS1	LOC339862
		MAB21L1	LOC340074
		MAB21L2	LOC344967
		MAB21L3	LOC375196
		MACC1	LOC388242
		MACF1	LOC388282
		MACROD1	LOC388406
		MACROD2	LOC388436
		MAD1L1	LOC388780
		MAD2L1	LOC388813
		MAD2L1BP	LOC388849
		MAD2L2	LOC389033
		MADCAM1	LOC389332
		MADD	LOC389602
		MAEA	LOC389765
		MAEL	LOC389895
		MAF	LOC389906
		MAF1	LOC391003
		MAFA	LOC391322
		MAFB	LOC392196
		MAFF	LOC392232
		MAFG	LOC392364
		MAFK	LOC399491
		MAG	LOC399715
		MAGEA1	LOC399815
		MAGEA10	LOC400043
		MAGEA10-MAGEA5	LOC400541
		MAGEA11	LOC400553
		MAGEA12	LOC400558
		MAGEA2	LOC400612
		MAGEA2B	LOC400655
		MAGEA3	LOC400736
		MAGEA4	LOC400863
		MAGEA5	LOC400867
		MAGEA6	LOC400927-CSNK1E
		MAGEA8	LOC400958
		MAGEA9	LOC400997
		MAGEA9B	LOC401010
		MAGEB1	LOC401052
		MAGEB10	LOC401286
		MAGEB16	LOC401324
		MAGEB17	LOC401357
		MAGEB18	LOC401463
		MAGEB2	LOC403312
		MAGEB3	LOC403323
		MAGEB4	LOC407835
		MAGEB5	LOC414300
		MAGEB6	LOC439933
		MAGEC1	LOC440040
		MAGEC2	LOC440173
		MAGEC3	LOC440311
		MAGED1	LOC440434
		MAGED2	LOC440461
		MAGED4	LOC440704
		MAGED4B	LOC441081
		MAGEE1	LOC441155
		MAGEE2	LOC441178
		MAGEF1	LOC441242
		MAGEH1	LOC441454
		MAGEL2	LOC442028
		MAGI1	LOC493754
		MAGI2	LOC494141
		MAGI2-AS3	LOC541473
		MAGI3	LOC550113
		MAGIX	LOC553103
		MAGOH	LOC554206
		MAGOHB	LOC554223
		MAGT1	LOC554249
		MAK	LOC574538
		MAK16	LOC606724
		MAL	LOC613037
		MAL2	LOC613038
		MALAT1	LOC63930
		MALL	LOC641367
		MALRD1	LOC642423
		MALSU1	LOC642846
		MALT1	LOC643339
		MAMDC2	LOC643355
		MAMDC4	LOC643387
		MAML1	LOC643406
		MAML2	LOC643770
		MAML3	LOC643802
		MAMLD1	LOC643923
		MAMSTR	LOC644145
		MAN1A1	LOC644172
		MAN1A2	LOC644189
		MAN1B1	LOC644936
		MAN1B1-AS1	LOC645382
		MAN1C1	LOC645752
		MAN2A1	LOC646471
		MAN2A2	LOC646626
		MAN2B1	LOC646743
		MAN2B2	LOC646762
		MAN2C1	LOC646938
		MANBA	LOC647859
		MANBAL	LOC648987
		MANEA	LOC650293
		MANEAL	LOC653160
		MANF	LOC653513
		MANSC1	LOC653602
		MANSC4	LOC653653
		MAOA	LOC653712
		MAOB	LOC653786
		MAP10	LOC654841
		MAP1A	LOC727896
		MAP1B	LOC727924
		MAP1LC3A	LOC728024
		MAP1LC3B	LOC728392
		MAP1LC3B2	LOC728485
		MAP1LC3C	LOC728554
		MAP1S	LOC728673
		MAP2	LOC728752
		MAP2K1	LOC728819
		MAP2K2	LOC728989
		MAP2K3	LOC729159
		MAP2K4	LOC729603
		MAP2K5	LOC729658
		MAP2K6	LOC729732
		MAP2K7	LOC729737
		MAP3K1	LOC729867
		MAP3K10	LOC729970
		MAP3K11	LOC730159
		MAP3K12	LOC730183
		MAP3K13	LOC730202
		MAP3K14	LOC730668
		MAP3K14-AS1	LOC731157
		MAP3K15	LOC79160
		MAP3K19	LOC79999
		MAP3K2	LOC81691
		MAP3K3	LOC90834
		MAP3K4	LOC91450
		MAP3K5	LOC93432
		MAP3K6	LOC93622
		MAP3K7	LOH12CR1
		MAP3K7CL	LOH12CR2
		MAP3K8	LONP1
		MAP3K9	LONP2
		MAP4	LONRF1
		MAP4K1	LONRF2
		MAP4K2	LONRF3
		MAP4K3	LOR
		MAP4K4	LOX
		MAP4K5	LOXHD1
		MAP6	LOXL1
		MAP6D1	LOXL1-AS1
		MAP7	LOXL2
		MAP7D1	LOXL3
		MAP7D2	LOXL4
		MAP7D3	LPA
		MAP9	LPAL2
		MAPK1	LPAR1
		MAPK10	LPAR2
		MAPK11	LPAR3
		MAPK12	LPAR4
		MAPK13	LPAR5
		MAPK14	LPAR6
		MAPK15	LPCAT1
		MAPK1IP1L	LPCAT2
		MAPK3	LPCAT3
		MAPK4	LPCAT4
		MAPK6	LPGAT1
		MAPK7	LPHN1
		MAPK8	LPHN2
		MAPK8IP1	LPHN3
		MAPK8IP2	LPHN3-AS1
		MAPK8IP3	LPIN1
		MAPK9	LPIN2
		MAPKAP1	LPIN3
		MAPKAPK2	LPL
		MAPKAPK3	LPO
		MAPKAPK5	LPP
		MAPKAPK5-AS1	LPPR1
		MAPKBP1	LPPR2
		MAPRE1	LPPR3
		MAPRE2	LPPR4
		MAPRE3	LPPR5
		MAPT	LPXN
		Mar-01	LRAT
		Mar-02	LRBA
		Mar-10	LRCH1
		Mar-11	LRCH2
		Mar-03	LRCH3
		Mar-04	LRCH4
		Mar-05	LRCOL1
		Mar-06	LRFN1
		Mar-07	LRFN2
		Mar-08	LRFN3
		Mar-09	LRFN4
		MARCKS	LRFN5
		MARCKSL1	LRG1
		MARCO	LRGUK
		MARK1	LRIF1
		MARK2	LRIG1
		MARK2P9	LRIG2
		MARK3	LRIG3
		MARS	LRIT1
		MARS2	LRIT2
		MARVELD1	LRIT3
		MARVELD2	LRMP
		MARVELD3	LRP1
		MAS1	LRP10
		MAS1L	LRP11
		MASP1	LRP12
		MASP2	LRP1B
		MAST1	LRP2
		MAST2	LRP2BP
		MAST3	LRP3
		MAST4	LRP4
		MASTL	LRP4-AS1
		MAT1A	LRP5
		MAT2A	LRP5L
		MAT2B	LRP6
		MATK	LRP8
		MATN1	LRPAP1
		MATN1-AS1	LRPPRC
		MATN2	LRR1
		MATN3	LRRC1
		MATN4	LRRC10
		MATR3	LRRC10B
		MAU2	LRRC14
		MAVS	LRRC14B
		MAX	LRRC15
		MAZ	LRRC16A
		MB	LRRC16B
		MB21D1	LRRC17
		MB21D2	LRRC18
		MBD1	LRRC19
		MBD2	LRRC2
		MBD3	LRRC20
		MBD3L1	LRRC23
		MBD3L2	LRRC24
		MBD3L3	LRRC25
		MBD3L4	LRRC26
		MBD6	LRRC27
		MBIP	LRRC28
		MBL1P	LRRC29
		MBL2	LRRC3
		MBLAC1	LRRC30
		MBLAC2	LRRC31
		MBNL1	LRRC32
		MBNL1-AS1	LRRC34
		MBNL2	LRRC36
		MBNL3	LRRC37A
		MBOAT1	LRRC37A2
		MBOAT2	LRRC37A3
		MBOAT4	LRRC37A4P
		MBOAT7	LRRC37A5P
		MBP	LRRC37A6P
		MBTD1	LRRC37B
		MBTPS1	LRRC37BP1
		MBTPS2	LRRC38
		MC1R	LRRC39
		MC2R	LRRC3B
		MC3R	LRRC3C
		MC4R	LRRC4
		MC5R	LRRC40
		MCAM	LRRC41
		MCAT	LRRC42
		MCC	LRRC43
		MCCC1	LRRC45
		MCCC2	LRRC46
		MCCD1	LRRC47
		MCEE	LRRC48
		MCEMP1	LRRC49
		MCF2	LRRC4B
		MCF2L	LRRC4C
		MCF2L2	LRRC52
		MCF2L-AS1	LRRC55
		MCFD2	LRRC56
		MCHR1	LRRC57
		MCHR2	LRRC58
		MCHR2-AS1	LRRC59
		MCIDAS	LRRC6
		MCM10	LRRC61
		MCM2	LRRC63
		MCM3	LRRC66
		MCM3AP	LRRC69
		MCM3AP-AS1	LRRC7
		MCM4	LRRC70
		MCM5	LRRC71
		MCM6	LRRC72
		MCM7	LRRC73
		MCM8	LRRC74A
		MCM9	LRRC74B
		MCMBP	LRRC75A
		MCMDC2	LRRC75A-AS1
		MCOLN1	LRRC75B
		MCOLN2	LRRC8A
		MCOLN3	LRRC8B
		MCPH1	LRRC8C
		MCRS1	LRRC8D
		MCTP1	LRRC8E
		MCTP2	LRRC9
		MCTS1	LRRCC1
		MCTS2P	LRRD1
		MCU	LRRFIP1
		MDC1	LRRFIP2
		MDFI	LRRIQ1
		MDFIC	LRRIQ3
		MDGA1	LRRIQ4
		MDGA2	LRRK1
		MDH1	LRRK2
		MDH1B	LRRN1
		MDH2	LRRN2
		MDK	LRRN3
		MDM1	LRRN4
		MDM2	LRRN4CL
		MDM4	LRRTM1
		MDN1	LRRTM2
		MDP1	LRRTM3
		MDS2	LRRTM4
		ME1	LRSAM1
		ME2	LRTM1
		ME3	LRTM2
		MEA1	LRTOMT
		MEAF6	LRWD1
		MECOM	LSAMP
		MECP2	LSG1
		MECR	LSM1
		MED1	LSM10
		MED10	LSM11
		MED11	LSM12
		MED12	LSM14A
		MED12L	LSM14B
		MED13	LSM2
		MED13L	LSM3
		MED14	LSM4
		MED14OS	LSM5
		MED15	LSM6
		MED15P9	LSM7
		MED16	LSM8
		MED18	LSMEM1
		MED19	LSMEM2
		MED20	LSP1
		MED21	LSR
		MED22	LSS
		MED23	LST1
		MED24	LTA
		MED25	LTA4H
		MED26	LTB
		MED27	LTB4R
		MED28	LTB4R2
		MED29	LTBP1
		MED30	LTBP2
		MED31	LTBP3
		MED4	LTBP4
		MED4-AS1	LTBR
		MED6	LTC4S
		MED7	LTF
		MED8	LTK
		MED9	LTN1
		MEDAG	LTV1
		MEF2A	LUC7L
		MEF2B	LUC7L2
		MEF2BNB	LUC7L3
		MEF2BNB-MEF2B	LUM
		MEF2C	LURAP1
		MEF2C-AS1	LURAP1L
		MEF2D	LUZP1
		MEG3	LUZP2
		MEG8	LUZP4
		MEG9	LUZP6
		MEGF6	LXN
		MEGF8	LY6D
		MEGF9	LY6E
		MEI1	LY6G5B
		MEI4	LY6G5C
		MEIG1	LY6G6C
		MEIS1	LY6G6D
		MEIS1-AS3	LY6G6E
		MEIS2	LY6G6F
		MEIS3P1	LY6H
		MELK	LY6K
		MEMO1	LY75
		MEN1	LY75-CD302
		MEOX1	LY86
		MEOX2	LY9
		MEP1A	LY96
		MEP1B	LYAR
		MEPCE	LYG1
		MEPE	LYG2
		MERTK	LYL1
		MESDC1	LYN
		MESDC2	LYNX1
		MESP1	LYPD1
		MESP2	LYPD2
		MEST	LYPD3
		MESTIT1	LYPD4
		MET	LYPD5
		METAP1D	LYPD6
		METAP2	LYPD6B
		METRN	LYPD8
		METRNL	LYPLA1
		METTL1	LYPLA2
		METTL10	LYPLA2P2
		METTL11B	LYPLAL1
		METTL12	LYRM1
		METTL13	LYRM2
		METTL14	LYRM4
		METTL15	LYRM5
		METTL16	LYRM7
		METTL17	LYRM9
		METTL18	LYSMD1
		METTL20	LYSMD2
		METTL21A	LYSMD3
		METTL21B	LYSMD4
		METTL21C	LYST
		METTL21EP	LYVE1
		METTL22	LYZ
		METTL24	LYZL1
		METTL25	LYZL2
		METTL2A	LYZL4
		METTL2B	LYZL6
		METTL3	LZIC
		METTL4	LZTFL1
		METTL5	LZTR1
		METTL6	LZTS1
		METTL7A	LZTS2
		METTL7B	LZTS3
		METTL8	M1AP
		METTL9	M6PR
		MEX3A	MAATS1
		MEX3B	MAB21L1
		MEX3C	MAB21L2
		MEX3D	MAB21L3
		MFAP1	MACC1
		MFAP2	MACF1
		MFAP3	MACROD1
		MFAP3L	MACROD2
		MFAP4	MAD1L1
		MFAP5	MAD2L1
		MFF	MAD2L1BP
		MFGE8	MAD2L2
		MFHAS1	MADCAM1
		MFI2	MADD
		MFI2-AS1	MAEA
		MFN1	MAEL
		MFN2	MAF
		MFNG	MAF1
		MFRP	MAFA
		MFSD1	MAFB
		MFSD10	MAFF
		MFSD11	MAFG
		MFSD12	MAFK
		MFSD2A	MAG
		MFSD2B	MAGEA1
		MFSD3	MAGEA10
		MFSD4	MAGEA10-MAGEA5
		MFSD5	MAGEA11
		MFSD6	MAGEA12
		MFSD6L	MAGEA2
		MFSD7	MAGEA2B
		MFSD8	MAGEA3
		MFSD9	MAGEA4
		MGA	MAGEA5
		MGAM	MAGEA6
		MGARP	MAGEA8
		MGAT1	MAGEA9
		MGAT2	MAGEA9B
		MGAT3	MAGEB1
		MGAT4A	MAGEB10
		MGAT4B	MAGEB16
		MGAT4C	MAGEB17
		MGAT5	MAGEB18
		MGAT5B	MAGEB2
		MGC12916	MAGEB3
		MGC15885	MAGEB4
		MGC16142	MAGEB5
		MGC27382	MAGEB6
		MGC34796	MAGEC1
		MGC70870	MAGEC2
		MGLL	MAGEC3
		MGME1	MAGED1
		MGMT	MAGED2
		MGP	MAGED4
		MGRN1	MAGED4B
		MGST1	MAGEE1
		MGST2	MAGEE2
		MGST3	MAGEF1
		MIA	MAGEH1
		MIA2	MAGEL2
		MIA3	MAGI1
		MIA-RAB4B	MAGI2
		MIAT	MAGI2-AS3
		MIB1	MAGI3
		MICA	MAGIX
		MICAL1	MAGOH
		MICAL2	MAGOHB
		MICAL3	MAGT1
		MICALCL	MAK
		MICALL1	MAK16
		MICALL2	MAL
		MICB	MAL2
		MICU1	MALAT1
		MICU2	MALL
		MICU3	MALRD1
		MID1	MALSU1
		MID1IP1	MALT1
		MID1IP1-AS1	MAMDC2
		MID2	MAMDC4
		MIEF1	MAML1
		MIEF2	MAML2
		MIEN1	MAML3
		MIER1	MAMLD1
		MIER2	MAMSTR
		MIER3	MAN1A1
		MIF	MAN1A2
		MIF4GD	MAN1B1
		MIIP	MAN1B1-AS1
		MILR1	MAN1C1
		MIMT1	MAN2A1
		MINA	MAN2A2
		MINOS1	MAN2B1
		MINOS1-NBL1	MAN2B2
		MINOS1P1	MAN2C1
		MINPP1	MANBA
		MIOX	MANBAL
		MIP	MANEA
		MIPEP	MANEAL
		MIPEPP3	MANF
		MIPOL1	MANSC1
		MIR100	MANSC4
		MIR100HG	MAOA
		MIR101-1	MAOB
		MIR103A1	MAP10
		MIR103A2	MAP1A
		MIR103B1	MAP1B
		MIR103B2	MAP1LC3A
		MIR105-1	MAP1LC3B
		MIR105-2	MAP1LC3B2
		MIR106A	MAP1LC3C
		MIR106B	MAP1S
		MIR107	MAP2
		MIR10A	MAP2K1
		MIR10B	MAP2K2
		MIR1-1	MAP2K3
		MIR1178	MAP2K4
		MIR1179	MAP2K5
		MIR1180	MAP2K6
		MIR1181	MAP2K7
		MIR1182	MAP3K1
		MIR1184-1	MAP3K10
		MIR1184-2	MAP3K11
		MIR1193	MAP3K12
		MIR1197	MAP3K13
		MIR1199	MAP3K14
		MIR1-2	MAP3K14-AS1
		MIR1200	MAP3K15
		MIR1203	MAP3K19
		MIR1204	MAP3K2
		MIR1205	MAP3K3
		MIR1206	MAP3K4
		MIR1207	MAP3K5
		MIR1208	MAP3K6
		MIR122	MAP3K7
		MIR1224	MAP3K7CL
		MIR1225	MAP3K8
		MIR1226	MAP3K9
		MIR1227	MAP4
		MIR1228	MAP4K1
		MIR1229	MAP4K2
		MIR1231	MAP4K3
		MIR1233-1	MAP4K4
		MIR1233-2	MAP4K5
		MIR1234	MAP6
		MIR1236	MAP6D1
		MIR1237	MAP7
		MIR1238	MAP7D1
		MIR124-1	MAP7D2
		MIR124-2	MAP7D3
		MIR124-2HG	MAP9
		MIR1243	MAPK1
		MIR124-3	MAPK10
		MIR1244-1	MAPK11
		MIR1244-2	MAPK12
		MIR1244-3	MAPK13
		MIR1245A	MAPK14
		MIR1245B	MAPK15
		MIR1246	MAPK1IP1L
		MIR1247	MAPK3
		MIR1248	MAPK4
		MIR1249	MAPK6
		MIR1250	MAPK7
		MIR1251	MAPK8
		MIR1252	MAPK8IP1
		MIR1253	MAPK8IP2
		MIR1256	MAPK8IP3
		MIR1257	MAPK9
		MIR125A	MAPKAP1
		MIR125B1	MAPKAPK2
		MIR125B2	MAPKAPK3
		MIR126	MAPKAPK5
		MIR1260A	MAPKAPK5-AS1
		MIR1260B	MAPKBP1
		MIR1262	MAPRE1
		MIR1264	MAPRE2
		MIR1265	MAPRE3
		MIR1266	MAPT
		MIR127	MAPT-IT1
		MIR1270-1	Mar-01
		MIR1270-2	Mar-02
		MIR1272	Mar-03
		MIR1273H	Mar-04
		MIR1275	MARHC5
		MIR1276	Mar-06
		MIR1277	Mar-07
		MIR1278	Mar-08
		MIR1279	MARHC9
		MIR1281	Mar-10
		MIR128-1	MARHC11
		MIR1282	MARCKS
		MIR128-2	MARCKSL1
		MIR1283-1	MARCO
		MIR1283-2	MARK1
		MIR1284	MARK2
		MIR1286	MARK3
		MIR1287	MARK4
		MIR1288	MARS
		MIR1289-2	MARS2
		MIR1291	MARVELD1
		MIR129-1	MARVELD2
		MIR1292	MARVELD3
		MIR129-2	MAS1
		MIR1293	MAS1L
		MIR1295A	MASP1
		MIR1295B	MASP2
		MIR1296	MAST1
		MIR1297	MAST2
		MIR1298	MAST3
		MIR1301	MAST4
		MIR1304	MASTL
		MIR1305	MAT1A
		MIR1306	MAT2A
		MIR1307	MAT2B
		MIR130A	MATK
		MIR130B	MATN1
		MIR132	MATN1-AS1
		MIR1322	MATN2
		MIR1323	MATN3
		MIR1324	MATN4
		MIR133A1	MATR3
		MIR133A1HG	MAU2
		MIR133A2	MAVS
		MIR133B	MAX
		MIR134	MAZ
		MIR1343	MB
		MIR135A1	MB21D1
		MIR135A2	MB21D2
		MIR135B	MBD1
		MIR136	MBD2
		MIR137	MBD3
		MIR137HG	MBD3L1
		MIR138-1	MBD3L2
		MIR138-2	MBD3L3
		MIR139	MBD3L4
		MIR140	MBD3L5
		MIR141	MBD4
		MIR142	MBD5
		MIR143	MBD6
		MIR143HG	MBIP
		MIR144	MBL1P
		MIR145	MBL2
		MIR1468	MBLAC1
		MIR1469	MBLAC2
		MIR146A	MBNL1
		MIR146B	MBNL1-AS1
		MIR1470	MBNL2
		MIR1471	MBNL3
		MIR147A	MBOAT1
		MIR147B	MBOAT2
		MIR148A	MBOAT4
		MIR148B	MBOAT7
		MIR149	MBP
		MIR150	MBTD1
		MIR152	MBTPS1
		MIR153-1	MBTPS2
		MIR153-2	MC1R
		MIR1537	MC2R
		MIR1538	MC3R
		MIR1539	MC4R
		MIR154	MC5R
		MIR155	MCAM
		MIR155HG	MCAT
		MIR15A	MCC
		MIR15B	MCCC1
		MIR16-1	MCCC2
		MIR16-2	MCCD1
		MIR17	MCEE
		MIR17HG	MCEMP1
		MIR181A1	MCF2
		MIR181A1HG	MCF2L
		MIR181A2	MCF2L2
		MIR181B1	MCF2L-AS1
		MIR181C	MCFD2
		MIR181D	MCHR1
		MIR182	MCHR2
		MIR1827	MCIDAS
		MIR183	MCL1
		MIR184	MCM10
		MIR185	MCM2
		MIR186	MCM3
		MIR187	MCM3AP
		MIR188	MCM3AP-AS1
		MIR18A	MCM4
		MIR18B	MCM5
		MIR1908	MCM6
		MIR1909	MCM7
		MIR190A	MCM8
		MIR190B	MCM9
		MIR191	MCMBP
		MIR1910	MCMDC2
		MIR1911	MCOLN1
		MIR1912	MCOLN2
		MIR1913	MCOLN3
		MIR1914	MCPH1
		MIR1915	MCRS1
		MIR192	MCTP1
		MIR193A	MCTP2
		MIR193B	MCTS1
		MIR194-1	MCU
		MIR194-2	MCUR1
		MIR195	MDC1
		MIR196A1	MDFI
		MIR196A2	MDFIC
		MIR196B	MDGA1
		MIR197	MDGA2
		MIR1972-1	MDH1
		MIR1972-2	MDH1B
		MIR1973	MDH2
		MIR1976	MDK
		MIR199A1	MDM1
		MIR199A2	MDM2
		MIR199B	MDM4
		MIR19A	MDN1
		MIR19B1	MDP1
		MIR19B2	MDS2
		MIR200A	ME1
		MIR200B	ME2
		MIR200C	ME3
		MIR202	MEA1
		MIR202HG	MEAF6
		MIR203A	MECOM
